epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3530.93,0.94749,0.63505,1.27429,0.94521,0.874,0.94461,0.71596,0.93713,0.50955,1.29772,0.000357564,0.000357564,0.000357564
43,3612.48,0.94666,0.63061,1.27112,0.93595,0.89126,0.95177,0.73256,0.89054,0.48434,1.27267,0.000349224,0.000349224,0.000349224
44,3694.7,0.91893,0.61203,1.25432,0.94251,0.88568,0.94763,0.72564,0.90906,0.48873,1.28453,0.000340817,0.000340817,0.000340817
45,3776.19,0.91839,0.60461,1.25104,0.95305,0.88627,0.95038,0.72953,0.88669,0.46828,1.27085,0.000332351,0.000332351,0.000332351
46,3857.6,0.90712,0.59539,1.24363,0.9472,0.89583,0.95334,0.73694,0.88428,0.46718,1.27557,0.000323834,0.000323834,0.000323834
47,3939.64,0.90135,0.59556,1.23799,0.94624,0.89882,0.94988,0.73574,0.88325,0.46654,1.27384,0.000315274,0.000315274,0.000315274
48,4021.01,0.88159,0.57757,1.23198,0.94198,0.90164,0.95406,0.7469,0.86831,0.45643,1.26632,0.00030668,0.00030668,0.00030668
49,4103.03,0.88372,0.57067,1.22498,0.94683,0.89983,0.95496,0.74676,0.85895,0.45,1.25336,0.000298061,0.000298061,0.000298061
50,4184.52,0.86864,0.56068,1.21323,0.93763,0.90858,0.95561,0.74452,0.86315,0.44819,1.27035,0.000289425,0.000289425,0.000289425
51,4266.14,0.86315,0.56521,1.21556,0.9409,0.89026,0.95033,0.73954,0.87596,0.46589,1.27181,0.00028078,0.00028078,0.00028078
52,4347.62,0.87416,0.5692,1.2176,0.95125,0.90599,0.95796,0.7488,0.86792,0.44778,1.25729,0.000272135,0.000272135,0.000272135
53,4429.26,0.85502,0.55268,1.2082,0.95096,0.90747,0.95815,0.75295,0.85464,0.43894,1.25751,0.000263499,0.000263499,0.000263499
54,4511.14,0.83144,0.53404,1.19227,0.94094,0.90367,0.9544,0.75282,0.85033,0.44141,1.26197,0.00025488,0.00025488,0.00025488
55,4592.39,0.82327,0.53111,1.18885,0.95068,0.90514,0.9565,0.75658,0.83589,0.42721,1.2485,0.000246286,0.000246286,0.000246286
56,4673.86,0.82113,0.53542,1.18997,0.94929,0.90969,0.95898,0.75655,0.84464,0.42802,1.25635,0.000237726,0.000237726,0.000237726
57,4755.45,0.81304,0.52227,1.17726,0.95206,0.91397,0.95927,0.76599,0.81179,0.41643,1.2366,0.000229209,0.000229209,0.000229209
58,4837.44,0.80293,0.51065,1.17188,0.95104,0.91254,0.96002,0.75722,0.84265,0.42087,1.24821,0.000220743,0.000220743,0.000220743
59,4919.11,0.79448,0.51128,1.16496,0.94527,0.9132,0.95914,0.75276,0.85136,0.42376,1.26096,0.000212336,0.000212336,0.000212336
60,5000.81,0.7947,0.50718,1.16292,0.94509,0.9154,0.95935,0.76398,0.815,0.41119,1.23842,0.000203996,0.000203996,0.000203996
61,5082.33,0.78758,0.50463,1.16542,0.94596,0.92276,0.96061,0.76902,0.81294,0.41058,1.23513,0.000195732,0.000195732,0.000195732
62,5164.44,0.78556,0.49734,1.16009,0.94888,0.91838,0.9609,0.77141,0.8019,0.40272,1.23127,0.000187553,0.000187553,0.000187553
63,5246.54,0.76346,0.48598,1.14869,0.94558,0.92475,0.96044,0.76852,0.8097,0.40424,1.24383,0.000179465,0.000179465,0.000179465
64,5328.47,0.76242,0.48332,1.14711,0.94642,0.91535,0.9574,0.7716,0.79921,0.40172,1.23686,0.000171477,0.000171477,0.000171477
65,5410.34,0.75796,0.48118,1.14472,0.9559,0.91645,0.96082,0.77947,0.7804,0.39163,1.222,0.000163597,0.000163597,0.000163597
66,5492.55,0.75732,0.47756,1.14122,0.94828,0.92108,0.95937,0.77806,0.77634,0.39033,1.21817,0.000155833,0.000155833,0.000155833
67,5574.24,0.74628,0.47568,1.13932,0.95523,0.92302,0.96143,0.77925,0.78376,0.392,1.2273,0.000148192,0.000148192,0.000148192
68,5655.98,0.73721,0.46635,1.13183,0.95612,0.92249,0.95944,0.77929,0.77771,0.38971,1.22044,0.000140682,0.000140682,0.000140682
69,5737.81,0.73725,0.4672,1.13093,0.95523,0.92521,0.9627,0.78111,0.7744,0.38479,1.22144,0.00013331,0.00013331,0.00013331
70,5819.97,0.73009,0.46151,1.12495,0.95774,0.92444,0.96226,0.78682,0.75619,0.37694,1.20945,0.000126083,0.000126083,0.000126083
71,5902.11,0.72377,0.45953,1.11892,0.95281,0.9269,0.96198,0.78442,0.76967,0.38013,1.21655,0.00011901,0.00011901,0.00011901
72,5983.93,0.71297,0.45134,1.11231,0.96196,0.92248,0.96228,0.78851,0.75456,0.37112,1.20312,0.000112096,0.000112096,0.000112096
73,6065.93,0.70244,0.44223,1.10551,0.95264,0.93025,0.96144,0.78533,0.75307,0.37536,1.21354,0.000105348,0.000105348,0.000105348
